target,budget,method,accuracy_delta_pp_vs_random
Corn→PlantDoc,3,entropy,8.430851063829792
Corn→PlantDoc,3,least_confidence,7.101063829787247
Corn→PlantDoc,3,margin,0.9840425531914998
Corn→PlantDoc,3,diversity,0.9840425531914998
Corn→PlantDoc,6,entropy,2.220744680851061
Corn→PlantDoc,6,least_confidence,5.944148936170201
Corn→PlantDoc,6,margin,1.9547872340425432
Corn→PlantDoc,6,diversity,-2.300531914893622
Corn→PlantDoc,15,entropy,4.840425531914905
Corn→PlantDoc,15,least_confidence,4.840425531914905
Corn→PlantDoc,15,margin,3.776595744680855
Corn→PlantDoc,15,diversity,-1.010638297872335
Corn→PlantDoc,30,entropy,3.005319148936192
Corn→PlantDoc,30,least_confidence,3.8031914893617236
Corn→PlantDoc,30,margin,1.1436170212766106
Corn→PlantDoc,30,diversity,2.473404255319167
Corn→PlantDoc,60,entropy,1.7287234042553057
Corn→PlantDoc,60,least_confidence,0.930851063829774
Corn→PlantDoc,60,margin,0.664893617021256
Corn→PlantDoc,60,diversity,0.13297872340424233
Corn→PlantWild,3,entropy,-0.1713395638629267
Corn→PlantWild,3,least_confidence,0.6074766355140204
Corn→PlantWild,3,margin,1.542056074766357
Corn→PlantWild,3,diversity,-2.3520249221183787
Corn→PlantWild,6,entropy,-0.16355140186917194
Corn→PlantWild,6,least_confidence,1.082554517133938
Corn→PlantWild,6,margin,2.3286604361370533
Corn→PlantWild,6,diversity,-3.123052959501571
Corn→PlantWild,15,entropy,2.8426791277258556
Corn→PlantWild,15,least_confidence,2.5311526479750768
Corn→PlantWild,15,margin,-1.2071651090342694
Corn→PlantWild,15,diversity,-4.789719626168221
Corn→PlantWild,30,entropy,2.904984423676016
Corn→PlantWild,30,least_confidence,1.5031152647975055
Corn→PlantWild,30,margin,1.3473520249221216
Corn→PlantWild,30,diversity,-6.44080996884735
Corn→PlantWild,60,entropy,1.908099688473519
Corn→PlantWild,60,least_confidence,-0.8956386292834906
Corn→PlantWild,60,margin,0.8177570093457986
Corn→PlantWild,60,diversity,-4.010903426791279
Apple→PlantDoc,3,entropy,-2.5091575091575002
Apple→PlantDoc,3,least_confidence,-3.6080586080585952
Apple→PlantDoc,3,margin,2.985347985347997
Apple→PlantDoc,3,diversity,0.42124542124543085
Apple→PlantDoc,6,entropy,-6.959706959706957
Apple→PlantDoc,6,least_confidence,-1.831501831501825
Apple→PlantDoc,6,margin,3.296703296703296
Apple→PlantDoc,6,diversity,0.366300366300365
Apple→PlantDoc,15,entropy,-5.073260073260066
Apple→PlantDoc,15,least_confidence,-2.8754578754578652
Apple→PlantDoc,15,margin,0.05494505494506585
Apple→PlantDoc,15,diversity,-0.6776556776556641
Apple→PlantDoc,30,entropy,-6.025641025641026
Apple→PlantDoc,30,least_confidence,2.399267399267402
Apple→PlantDoc,30,margin,2.0329670329670257
Apple→PlantDoc,30,diversity,0.5677655677655657
Apple→PlantDoc,60,entropy,-2.220446049250313e-14
Apple→PlantDoc,60,least_confidence,-2.220446049250313e-14
Apple→PlantDoc,60,margin,-2.220446049250313e-14
Apple→PlantDoc,60,diversity,-0.3663003663003872
