task,target_calibration_labels,coverage,avg_set_size,full_set_rate
Corn->PlantDoc,0,0.44779324847423324,0.8128195508237415,0.0
Corn->PlantDoc,10,0.9078185616242191,2.434576442783357,0.5879576803406035
Corn->PlantDoc,20,0.9491822549250523,2.6745596084951764,0.7478986791857405
Corn->PlantDoc,40,0.9287640218572644,2.509869179650217,0.6226087662567495
Corn->PlantDoc,80,0.9128508686722411,2.406522824798362,0.548311278903212
Corn->PlantDoc,160,0.9080006630210926,2.3721210965920236,0.5213440163817326
Corn->PlantWild,0,0.3921216563596993,0.8405513340458892,0.0
Corn->PlantWild,10,0.9036206142183234,2.507774713721563,0.6392734568548188
Corn->PlantWild,20,0.952521388590183,2.7141604384828497,0.7766524892903449
Corn->PlantWild,40,0.9264649775549656,2.565548155760772,0.667149572072626
Corn->PlantWild,80,0.9127886720878382,2.5008198848480134,0.6202206071046842
Corn->PlantWild,160,0.905553271220411,2.4621919655921065,0.5942353020430309
Apple->PlantDoc,0,0.2579538613750428,0.3028096489005194,0.0
Apple->PlantDoc,10,0.904774972672934,1.8634986668071702,0.21104754332395806
Apple->PlantDoc,20,0.9487621642868912,2.0359715198030277,0.2769835288253501
Apple->PlantDoc,40,0.9224984680952847,1.8678003910676666,0.18256586604845193
Apple->PlantDoc,80,0.9124016283335048,1.8135433958824154,0.15240052554944755
Apple->PlantDoc,160,0.9052829657247085,1.7669036494909678,0.12649786142187724
