task,B,n_cal,n_adapt,accuracy,coverage,avg_set_size
Corn->PlantDoc,20,10,10,0.6488475177304965,0.9053191489361703,2.0437943262411347
Corn->PlantDoc,20,19,1,0.5335992907801418,0.9520390070921984,2.6289007092198573
Corn->PlantDoc,40,10,30,0.6849290780141845,0.9056737588652481,2.0279255319148937
Corn->PlantDoc,40,19,21,0.6629432624113475,0.9464539007092198,2.384485815602837
Corn->PlantDoc,80,10,70,0.7152482269503544,0.9155141843971631,1.9811170212765956
Corn->PlantDoc,80,19,61,0.7148936170212765,0.9491134751773049,2.123492907801418
Corn->PlantDoc,160,10,150,0.7549645390070924,0.9138297872340425,1.8176418439716315
Corn->PlantDoc,160,19,141,0.7546985815602837,0.9534574468085105,2.093351063829787
Corn->PlantWild,20,10,10,0.5303738317757011,0.911214953271028,2.4508826583592946
Corn->PlantWild,20,19,1,0.49252336448598133,0.9533229491173415,2.7250778816199377
Corn->PlantWild,40,10,30,0.6267912772585669,0.9052440290758047,2.263966770508827
Corn->PlantWild,40,19,21,0.6175493250259604,0.9508826583592938,2.568691588785046
Corn->PlantWild,80,10,70,0.669158878504673,0.9058670820353064,2.166251298026999
Corn->PlantWild,80,19,61,0.6714953271028039,0.947196261682243,2.421183800623053
Corn->PlantWild,160,10,150,0.7159916926272065,0.9207684319833853,2.0541017653167186
Corn->PlantWild,160,19,141,0.6987019730010384,0.9532191069574248,2.3400311526479753
Apple->PlantDoc,20,10,10,0.6511599511599514,0.9216117216117217,1.9102564102564101
Apple->PlantDoc,20,19,1,0.6416361416361418,0.9551892551892551,2.054945054945055
Apple->PlantDoc,40,10,30,0.698901098901099,0.9130647130647132,1.6808302808302809
Apple->PlantDoc,40,19,21,0.6489621489621491,0.9526251526251526,1.971062271062271
Apple->PlantDoc,80,10,70,0.8155067155067157,0.9202686202686203,1.5229548229548229
Apple->PlantDoc,80,19,61,0.8023199023199026,0.9660561660561662,1.7733821733821735
Apple->PlantDoc,160,10,150,0.8286935286935289,0.8987789987789989,1.328937728937729
Apple->PlantDoc,160,19,141,0.8258852258852261,0.9572649572649573,1.6151404151404152
